direction_name,shape_id,route_id,wheelchair_accessible,service_id,block_id,trip_headsign,trip_id,direction_id
Northbound,100.0.1952647071_Timetable_-_2026-06,216,1,Weekday_merged_94434,a_201067_Timetable_-_2026-06,Taunton,984__201067_Timetable_-_2026-06,0
Northbound,100.0.1952647071_Timetable_-_2026-06,216,1,Weekday_merged_94434,a_201020_Timetable_-_2026-06,Taunton,985__201020_Timetable_-_2026-06,0
Northbound,100.0.1952647071_Timetable_-_2026-06,216,1,Weekday_merged_94434,a_201067_Timetable_-_2026-06,Taunton,986__201067_Timetable_-_2026-06,0
Northbound,100.0.1952647071_Timetable_-_2026-06,216,1,Weekday_merged_94434,a_201066_Timetable_-_2026-06,Taunton,987__201066_Timetable_-_2026-06,0
Northbound,100.0.1952647071_Timetable_-_2026-06,216,1,Weekday_merged_94434,a_201094_Timetable_-_2026-06,Taunton,988__201094_Timetable_-_2026-06,0
Northbound,100.0.1952647071_Timetable_-_2026-06,216,1,Weekday_merged_94434,a_201065_Timetable_-_2026-06,Taunton,989__201065_Timetable_-_2026-06,0
Northbound,100.0.1046829421_Timetable_-_2026-06,405,1,Weekday_merged_94434,a_403023_Timetable_-_2026-06,Delpark Homes Centre,98__403023_Timetable_-_2026-06,0
Northbound,100.0.1952647071_Timetable_-_2026-06,216,1,Weekday_merged_94434,a_201066_Timetable_-_2026-06,Taunton,990__201066_Timetable_-_2026-06,0
Northbound,100.0.1952647071_Timetable_-_2026-06,216,1,Weekday_merged_94434,a_201040_Timetable_-_2026-06,Taunton,991__201040_Timetable_-_2026-06,0
Northbound,100.0.1952647071_Timetable_-_2026-06,216,1,Weekday_merged_94434,a_201047_Timetable_-_2026-06,Taunton,992__201047_Timetable_-_2026-06,0
Northbound,100.0.1952647071_Timetable_-_2026-06,216,1,Weekday_merged_94434,a_201020_Timetable_-_2026-06,Taunton,993__201020_Timetable_-_2026-06,0
Northbound,100.0.1952647071_Timetable_-_2026-06,216,1,Weekday_merged_94434,a_201094_Timetable_-_2026-06,Taunton,994__201094_Timetable_-_2026-06,0
